elements	col_1	col_2	col_3	col_4	col_5	col_6	col_7	col_8	col_9	col_10	col_11	col_12	col_13	col_14	col_15	col_16	col_17	col_18	col_19	col_20
elem_84	1.355048111	3.521502167	1.201342901	0.33835071	2.245571287	0.96533795	4.574288136	4.876643673	12.14732548	8.173398072	7.044731702	5.755576898	4.224203596	2.818737057	4.859235864	7.225183294	3.661850242	12.35470703	5.394979073	1.002281065
elem_85	0.087422459	0.176075108	0.100111908	0	0.047778112	0.214519545	0.351868318	0.232221127	0.103381493	0	0	0.139247828	0	0.331616124	0	0.190136402	0.451460989	0.045758174	0.740487324	0.42201308
elem_86	0.131133688	0.440187771	0.450503588	0.451134281	0.57333735	0.268149431	0.410513038	0.812773946	0.878742694	1.589271847	0.626198374	1.02115074	0.288013882	0.538876202	0.873570492	1.283420717	0.501623321	2.333666884	0.158675855	0.369261445
elem_87	0.218556147	0.220093885	0.300335725	0.394742496	0.525559237	0.321779317	0	0.038703521	0.051690747	0.113519418	0.104366396	0.324911599	0	0.207260078	0.054598156	0	0.100324664	0	0.846271227	0.158254905
elem_88	1.136491964	0.264112663	0.60067145	0.507526066	0.812227912	1.018967837	0.175934159	0.154814085	0.516907467	0	0.052183198	0.232079714	0.144006941	0.207260078	0.054598156	0.095068201	0.300973992	0.045758174	1.586758551	1.16053597
elem_89	0.568245982	1.05645065	0	0.33835071	0.334446787	0.69718852	2.697657106	1.625547891	1.292268668	2.667706315	1.356763143	2.831372506	1.344064781	1.11920442	1.637944673	1.616159421	3.360876249	6.772209782	1.851218309	0.21100654
elem_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elem_91	0.7430909	0.792337988	0.500559542	0.451134281	0.860006025	0.804448292	0.05864472	0.619256339	0	0.056759709	0.104366396	0.092831885	0.144006941	0.290164109	0.109196312	0.190136402	0	0.274549045	0.687595372	0.21100654
elem_92	0	0.132056331	0	0.11278357	0.238890562	0.214519545	0.234578879	0.928884509	0.516907467	0.624356797	0.104366396	0	0.52802545	0.248712093	0.163794467	0.475341006	0.451460989	1.372745226	3.067733198	0.31650981
elem_93	0	0	0.350391679	0.563917851	0.238890562	0	0.05864472	0.077407042	0	0.113519418	0	0.046415943	0.096004627	0.165808062	0	0	0	0.183032697	0.31735171	0.263758175
elem_94	0.655668441	1.100469427	0.250279771	0.676701421	0.812227912	0.321779317	2.932235985	1.664251412	3.876806004	1.362233012	2.191694307	2.645708736	1.968094857	2.32131287	1.692542829	1.56862532	2.558278936	1.647294271	0.63470342	0
elem_95	0.174844918	0.440187771	0.400447634	0.33835071	0.334446787	0.643558634	1.231539114	1.122402115	0.620288961	0.567597088	1.043663956	1.160398568	0.384018509	0.663232249	1.474150206	0.665477409	0.752434981	4.072477504	0.899163179	0.21100654
elem_96	0.174844918	0.044018777	0	0.169175355	0.095556225	0	0.234578879	0.30962817	0.413525974	1.021674759	0.260915989	0.974734797	0.384018509	0.248712093	0.327588935	0.570409207	0.551785653	2.425183233	0.423135614	0.10550327
elem_97	0.349689835	0.792337988	0.050055954	0.281958925	0.477781125	0.321779317	0.762381356	0.425738733	1.137196428	1.191953886	0.678381571	1.346062339	1.680080976	0.455972171	0.655177869	0.665477409	1.805843955	6.955242479	1.798326358	0.369261445
elem_98	0.087422459	0.352150217	0.100111908	0.169175355	0.095556225	0.214519545	0.938315515	0.696663382	0.103381493	0.340558253	0.417465582	0.371327542	0.192009254	0.207260078	0.709776025	0.713011509	0.300973992	2.104876013	0.211567807	0.580267985
elem_99	22.24901576	15.58264709	39.09370023	25.60187042	35.26024702	41.99220085	1.466117992	7.431076074	0.930433441	1.532512139	2.035144714	1.346062339	5.136247554	5.844734191	1.146561271	2.519307333	2.40779194	2.928523149	77.22224948	62.56343912
